timestamp,date,open,high,low,close,vwap,volume,count
1744243200,2025-04-10,119.02,119.20,108.29,112.79,112.47,272829.82586460,17188
1744329600,2025-04-11,112.77,122.52,112.14,121.39,119.09,243886.99709490,16653
1744416000,2025-04-12,121.36,134.00,119.40,132.28,128.55,273856.75349502,17486
1744502400,2025-04-13,132.22,133.83,125.34,128.26,129.00,244804.24055025,15511
1744588800,2025-04-14,128.32,136.11,127.94,129.29,131.55,311544.47676761,23642
1744675200,2025-04-15,129.40,134.41,125.96,126.08,129.66,208758.75743548,15480
1744761600,2025-04-16,126.11,133.80,123.54,131.27,127.75,317364.65957567,17378
1744848000,2025-04-17,131.32,136.04,129.55,134.82,133.27,209659.83625271,13491
1744934400,2025-04-18,134.83,135.99,132.50,134.15,134.28,119378.41419600,8628
1745020800,2025-04-19,134.01,140.50,133.56,139.85,138.56,159001.95329463,11738
1745107200,2025-04-20,139.86,141.93,135.67,137.88,138.57,129940.83911670,11353
1745193600,2025-04-21,137.87,143.06,133.94,136.63,138.84,230186.27950869,16346
1745280000,2025-04-22,136.57,150.22,134.79,148.85,144.19,387868.45208897,21963
1745366400,2025-04-23,148.85,154.13,147.26,151.20,150.98,240507.37503578,16960
1745452800,2025-04-24,151.11,152.91,145.20,152.54,149.58,260946.53725577,15118
1745539200,2025-04-25,152.54,157.00,150.04,150.98,153.14,215664.80496266,17985
1745625600,2025-04-26,150.95,153.15,147.88,149.27,150.02,85887.63011182,7862
1745712000,2025-04-27,149.28,150.33,145.69,148.04,148.23,70073.75770875,8610
1745798400,2025-04-28,148.04,153.30,144.68,147.76,148.68,158515.79992018,14787
1745884800,2025-04-29,147.89,150.26,145.09,146.41,147.91,153865.81174115,13318
1745971200,2025-04-30,146.42,148.63,140.40,147.62,144.52,138573.77330240,13977
1746057600,2025-05-01,147.60,153.90,147.60,150.97,150.99,232843.92426657,15008
1746144000,2025-05-02,150.96,151.93,147.50,148.10,149.82,115293.58487257,9763
1746230400,2025-05-03,148.10,149.00,145.91,146.75,147.56,79438.46296398,8093
1746316800,2025-05-04,146.76,147.73,143.76,144.00,145.83,60200.31485994,8399
1746403200,2025-05-05,143.96,147.68,142.64,146.61,145.39,114003.55247062,10934
1746489600,2025-05-06,146.71,147.20,141.50,146.82,144.04,98020.48576200,10198
1746576000,2025-05-07,146.87,149.50,144.81,147.32,146.52,178336.40208364,10779
1746662400,2025-05-08,147.32,164.41,147.11,164.41,155.98,335677.81051894,24457
1746748800,2025-05-09,164.40,175.97,161.16,172.78,169.89,300092.61850867,27224
1746835200,2025-05-10,172.79,178.92,168.76,177.94,172.73,136073.74091772,14600
1746921600,2025-05-11,177.91,180.10,169.53,173.26,173.95,154370.75083345,15890
1747008000,2025-05-12,173.26,181.37,168.30,174.20,174.91,350929.23482204,26576
1747094400,2025-05-13,174.24,184.75,166.18,183.75,176.38,261777.33138042,21832
1747180800,2025-05-14,183.75,184.70,173.31,176.63,178.89,173853.45127286,17946
1747267200,2025-05-15,176.63,178.22,166.77,169.12,170.72,321714.76599645,22281
1747353600,2025-05-16,169.14,174.15,166.55,167.49,171.39,180172.89904434,13850
1747440000,2025-05-17,167.46,169.89,164.04,166.02,166.76,121872.66545517,11166
1747526400,2025-05-18,166.02,176.83,164.70,173.39,171.12,198349.46504146,16381
1747612800,2025-05-19,173.41,173.86,159.43,166.85,164.46,183484.51895896,16822
1747699200,2025-05-20,166.86,172.99,164.59,168.62,167.90,260797.14034467,16827
1747785600,2025-05-21,168.66,175.91,165.57,173.61,170.29,315453.74740308,20924
1747872000,2025-05-22,173.62,180.74,172.70,179.70,177.67,282506.65741842,20260
